city_name,description,cause_of_incident,from_road,to_road,affected_roads,incident_category_desc,magnitude_of_delay_desc,length_in_meters,delay_in_seconds,incident_date,latitude,longitude,road_num,Distance
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,324,275,2019-01-15 19:05:00.066000,41.55176162719727,-8.422872543334961,1,0.40334363965348696
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,324,277,2019-01-15 19:24:58.991000,41.55176162719727,-8.422872543334961,1,0.40334363965348696
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,198,448,2019-01-15 19:44:59.515000,41.55177688598632,-8.421955108642576,1,0.3870472067459564
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,306,135,2019-01-16 09:44:59.294000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,322,288,2019-01-16 17:24:59.522000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,322,288,2019-01-16 17:44:59.512000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,N103 (N101),N309 (N101),N101,Jam,Major,381,158,2019-01-16 18:44:59.277000,41.54536437988281,-8.419567108154299,1,0.35995149495823753
Braga,queuing traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Moderate,498,180,2019-01-16 18:44:59.277000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,queuing traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Moderate,678,189,2019-01-16 19:04:59.507000,41.551689147949226,-8.422901153564451,1,0.3965247535773893
Braga,queuing traffic,,Avenida da Liberdade (N309) / Largo Senhor dos Aflitos,Avenida 31 de Janeiro / Rua Doutor Francisco Duarte,,Jam,Moderate,352,135,2019-01-17 08:44:59.622000,41.546344757080064,-8.417730331420897,1,0.37003767037897023
Braga,queuing traffic,,Avenida da Liberdade (N309) / Largo Senhor dos Aflitos,Avenida 31 de Janeiro / Rua Doutor Francisco Duarte,,Jam,Moderate,352,138,2019-01-17 09:04:59.497000,41.546344757080064,-8.417730331420897,1,0.37003767037897023
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,290,217,2019-01-17 10:44:59.616000,41.55184555053713,-8.423559188842772,1,0.43374108601985145
Braga,stationary traffic,,Rua De Santa Margarida (Avenida Central),N101 (Avenida Central),,Jam,Major,217,234,2019-01-17 16:24:59.463000,41.55162811279296,-8.417927742004395,1,0.4615938569276171
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,322,164,2019-01-17 17:04:59.433000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,362,293,2019-01-17 17:24:59.344000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,291,204,2019-01-17 17:44:59.433000,41.551719665527344,-8.423526763916017,1,0.4199744110084407
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,362,349,2019-01-17 17:44:59.433000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,291,377,2019-01-17 18:04:59.325000,41.551719665527344,-8.423526763916017,1,0.4199744110084407
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,264,239,2019-01-17 18:04:59.325000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,291,286,2019-01-17 18:24:59.495000,41.551719665527344,-8.423526763916017,1,0.4199744110084407
Braga,queuing traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Moderate,678,183,2019-01-17 18:24:59.495000,41.551689147949226,-8.422901153564451,1,0.3965247535773893
Braga,stationary traffic,,Rua De Santa Margarida (Avenida Central),N101 (Avenida Central),,Jam,Major,452,283,2019-01-17 18:24:59.495000,41.55162811279296,-8.417927742004395,1,0.4615938569276171
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,291,183,2019-01-17 18:44:59.558000,41.551719665527344,-8.423526763916017,1,0.4199744110084407
Braga,stationary traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Major,678,492,2019-01-17 18:44:59.558000,41.551689147949226,-8.422901153564451,1,0.3965247535773893
Braga,stationary traffic,,N14,Largo de São João da Ponte,N101 - N309,Jam,Major,196,176,2019-01-17 18:44:59.558000,41.54558181762697,-8.420775413513184,1,0.3087731336999913
Braga,queuing traffic,,Avenida da Liberdade (N309) / Avenida João XXI (N309),Avenida João XXI (N103) / Rua Martins Sarmento,,Jam,Moderate,697,299,2019-01-17 18:44:59.558000,41.54798126220703,-8.419332504272461,1,0.16812442709684158
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,291,249,2019-01-17 19:04:59.436000,41.551719665527344,-8.423526763916017,1,0.4199744110084407
Braga,stationary traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Major,678,287,2019-01-17 19:04:59.436000,41.551689147949226,-8.422901153564451,1,0.3965247535773893
Braga,stationary traffic,,Rua De Santa Margarida (Avenida Central),N101 (Avenida Central),,Jam,Major,440,295,2019-01-17 19:04:59.436000,41.55163955688477,-8.41831111907959,1,0.44398920886312276
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,381,201,2019-01-17 19:04:59.436000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,291,241,2019-01-17 19:24:59.214000,41.551719665527344,-8.423526763916017,1,0.4199744110084407
Braga,queuing traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Moderate,551,190,2019-01-17 19:24:59.214000,41.55073928833009,-8.4227294921875,1,0.29308975776821844
Braga,queuing traffic,,Rua De Santa Margarida (Avenida Central),N101 (Avenida Central),,Jam,Moderate,386,208,2019-01-17 19:24:59.214000,41.55163955688477,-8.41831111907959,1,0.44398920886312276
Braga,queuing traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Moderate,381,121,2019-01-17 19:24:59.214000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,238,173,2019-01-17 19:44:59.473000,41.552326202392614,-8.423572540283201,1,0.4828875155572602
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,322,223,2019-01-18 09:24:59.192000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,356,368,2019-01-18 12:24:59.513000,41.55176162719727,-8.422884941101074,1,0.4036799642712944
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,356,202,2019-01-18 14:25:03.628000,41.55176162719727,-8.422884941101074,1,0.4036799642712944
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,264,165,2019-01-18 17:24:59.434000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,238,175,2019-01-18 17:44:59.518000,41.552326202392614,-8.423572540283201,1,0.4828875155572602
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,290,269,2019-01-18 18:04:59.434000,41.55184555053713,-8.423559188842772,1,0.43374108601985145
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,304,296,2019-01-18 18:04:59.434000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,434,563,2019-01-18 18:24:59.364000,41.55177688598632,-8.421931266784668,1,0.3867718935428839
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,304,314,2019-01-18 18:24:59.364000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,205,268,2019-01-18 18:44:59.462000,41.551719665527344,-8.423526763916017,1,0.4199744110084407
Braga,stationary traffic,,Rua De Santa Margarida (Avenida Central),N101 (Avenida Central),,Jam,Major,277,301,2019-01-18 18:44:59.462000,41.55162811279296,-8.417940139770508,1,0.4609677435495796
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,238,128,2019-01-18 19:24:59.118000,41.552326202392614,-8.423572540283201,1,0.4828875155572602
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,238,171,2019-01-18 19:44:59.309000,41.552326202392614,-8.423572540283201,1,0.4828875155572602
Braga,stationary traffic,,Rua do Matadouro / Avenida São Miguel Carvalheiras,Rua do Raio,,Jam,Major,310,237,2019-01-18 23:44:59.493000,41.5495834350586,-8.425392150878906,1,0.3680670198399664
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,372,233,2019-01-19 11:24:59.579000,41.55176925659179,-8.422691345214844,1,0.399512239886706
Braga,stationary traffic,,Rua De Santa Margarida (Avenida Central),N101 (Avenida Central),,Jam,Major,277,172,2019-01-19 11:24:59.579000,41.55162811279296,-8.417940139770508,1,0.4609677435495796
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,466,620,2019-01-19 11:44:59.514000,41.5517807006836,-8.421545028686522,1,0.38413963824772146
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,434,286,2019-01-19 12:04:59.438000,41.55177688598632,-8.421931266784668,1,0.3867718935428839
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,362,241,2019-01-19 12:04:59.438000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,386,290,2019-01-19 12:24:59.277000,41.55176925659179,-8.422691345214844,1,0.399512239886706
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,466,338,2019-01-19 12:44:59.477000,41.5517807006836,-8.421545028686522,1,0.38413963824772146
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,372,234,2019-01-19 13:04:59.605000,41.55176925659179,-8.422691345214844,1,0.399512239886706
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,372,165,2019-01-19 13:24:59.484000,41.55176925659179,-8.422691345214844,1,0.399512239886706
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,322,130,2019-01-21 09:04:59.515000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,264,175,2019-01-21 09:24:59.425000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,206,144,2019-01-21 09:44:59.421000,41.552326202392614,-8.423572540283201,1,0.4828875155572602
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,264,158,2019-01-21 09:44:59.421000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,264,148,2019-01-21 16:05:01.179000,41.55184555053713,-8.423559188842772,1,0.43374108601985145
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,290,175,2019-01-21 16:25:01.597000,41.55184555053713,-8.423559188842772,1,0.43374108601985145
Braga,slow traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Minor,498,140,2019-01-21 17:04:59.446000,41.551094055175774,-8.41785717010498,1,0.41997775785949837
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,290,201,2019-01-21 17:24:59.397000,41.55184555053713,-8.423559188842772,1,0.43374108601985145
Braga,queuing traffic,,Avenida da Liberdade (N309) / Avenida João XXI (N309),Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),,Jam,Moderate,205,150,2019-01-21 17:24:59.397000,41.548957824707045,-8.418293952941895,1,0.2595239540243363
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,322,231,2019-01-21 17:24:59.397000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,stationary traffic,,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade (N101),,Jam,Major,322,210,2019-01-21 17:44:59.682000,41.55155944824218,-8.417231559753418,1,0.4933365578930169
Braga,slow traffic,,Avenida da Liberdade (N309) / Avenida João XXI (N309),Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),,Jam,Minor,250,120,2019-01-21 18:24:59.280000,41.54862976074217,-8.418659210205076,1,0.22209265940114445
Braga,queuing traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Moderate,590,200,2019-01-21 18:44:59.468000,41.551040649414055,-8.422947883605957,1,0.3311067879274289
Braga,queuing traffic,,N103 (N101),N309 (N101),N101,Jam,Moderate,377,125,2019-01-21 18:44:59.468000,41.545806884765604,-8.419878005981445,1,0.3045314716486046
Braga,queuing traffic,,Avenida da Liberdade (N309) / Avenida João XXI (N309),Avenida João XXI (N103) / Rua Martins Sarmento,,Jam,Moderate,381,167,2019-01-21 18:44:59.468000,41.548957824707045,-8.418293952941895,1,0.2595239540243363
Braga,stationary traffic,,Avenida Central (N101),N103 (N101),N101,Jam,Major,499,205,2019-01-21 19:04:59.533000,41.55020904541015,-8.422392845153809,1,0.22783880755425118
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,466,355,2019-01-21 19:04:59.533000,41.5517807006836,-8.421545028686522,1,0.38413963824772146
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,372,279,2019-01-21 19:24:59.008000,41.55176925659179,-8.422691345214844,1,0.399512239886706
Braga,stationary traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Major,238,164,2019-01-21 19:44:59.572000,41.552326202392614,-8.423572540283201,1,0.4828875155572602
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,252,155,2019-01-22 08:44:59.370000,41.552326202392614,-8.423572540283201,1,0.4828875155572602
Braga,queuing traffic,,Avenida Central (N101),Avenida General Norton De Matos (N101),N101,Jam,Moderate,356,171,2019-01-22 09:24:59.460000,41.55176162719727,-8.422884941101074,1,0.4036799642712944
