road_num,Month (number),Day of month,Hour,current_speed,speed_diff,time_diff,Day of week (name),temperature,wind_speed,clouds,description,incident_category_desc,length_in_meters,delay_in_seconds,Distance,atmosphere,rain
2,1,16,0,12.0,0.0,0.0,1,10,4,75,-1,-1,-1,-1,-1.0,0,0
2,1,16,1,12.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
2,1,16,2,12.0,0.0,0.0,1,10,3,75,-1,-1,-1,-1,-1.0,0,0
2,1,16,3,12.0,0.0,0.0,1,9,4,75,-1,-1,-1,-1,-1.0,0,0
2,1,16,4,12.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
2,1,16,5,12.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
2,1,16,6,12.0,0.0,0.0,1,9,3,75,-1,-1,-1,-1,-1.0,0,0
2,1,16,7,13.0,0.0,0.0,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
2,1,16,8,10.666666666666666,1.6666666666666663,29.666666666666664,1,-1,-1,-1,0,0,342,199,0.4291457645783713,1,0
2,1,16,9,8.666666666666666,4.0,67.66666666666666,1,-1,-1,-1,0,0,322,319,0.2315635301414422,1,2
2,1,16,10,9.333333333333332,2.6666666666666665,53.33333333333333,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,2
2,1,16,11,8.666666666666666,3.666666666666666,67.66666666666666,1,-1,-1,-1,-1,-1,-1,-1,-1.0,1,0
2,1,16,12,8.333333333333332,4.333333333333333,80.33333333333333,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
2,1,16,13,8.333333333333332,4.0,72.33333333333333,1,11,2,75,-1,-1,-1,-1,-1.0,0,1
2,1,16,14,8.333333333333332,4.333333333333333,78.33333333333333,1,11,2,75,0,0,264,153,0.4405055407452385,0,1
2,1,16,15,7.333333333333332,4.666666666666666,98.33333333333331,1,11,3,75,-1,-1,-1,-1,-1.0,0,1
2,1,16,16,10.333333333333332,2.333333333333333,40.0,1,11,2,75,0,0,322,302,0.4405055407452385,0,1
2,1,16,17,7.333333333333332,5.333333333333333,126.0,1,11,1,75,0,0,342,166,0.2315635301414422,0,1
2,1,16,18,7.0,5.666666666666666,130.66666666666666,1,11,1,75,0,0,264,211,0.18075916836047198,0,1
2,1,16,19,12.666666666666664,3.0,70.66666666666666,1,10,2,75,1,0,678,189,0.2441593457040461,0,1
2,1,16,20,14.0,3.333333333333333,71.0,1,10,2,75,-1,-1,-1,-1,-1.0,0,1
2,1,16,21,15.666666666666664,1.6666666666666663,33.0,1,9,0,40,-1,-1,-1,-1,-1.0,2,0
2,1,16,22,17.0,0.0,0.0,1,7,0,40,-1,-1,-1,-1,-1.0,2,0
2,1,16,23,15.999999999999998,1.0,19.666666666666664,1,8,1,40,-1,-1,-1,-1,-1.0,0,1
